taxon;species
fungi and fungus-like;138054
Fungi;135110
Ascomycota;83837
Amphisphaeriales;1075
Arthoniales;460
Asterinales;1605
Baeomycetales;97
Boliniales;48
Botryosphaeriales;4239
Caliciales;NA
Calosphaeriales;82
Candelariales;45
Capnodiales;749
Chaetomellales;NA
Chaetosphaeriales;517
Chaetothyriales;612
Conophorales;257
Coronophorales;257
Diaporthales;3373
Dothideales;780
Erysiphales;991
Eurotiales;1364
Geoglossales;110
Glomerellales;496
Helotiales;7410
Hypocreales;4779
Hysteriales;169
Ascomycota_Incertae_sedis;NA
Laboulbeniales;2325
Lecanorales;3991
Lecideales (n sp ww from Dictionary);494
Lichinales;161
Lulworthiales;58
Magnaporthales;277
Melanosporales;159
Meliolales;2509
Microascales;813
Microthyriales;872
Monoblastiales;NA
Muyocopronales;51
Mycocaliciales;68
Mycosphaerellales;6397
Myriangiales;369
Mytilinidiales;156
Onygenales;411
Ophiostomatales;354
Orbiliales;406
Ostropales;1358
Parasympodiellales;NA
Patellariales;134
Peltigerales;668
Pertusariales;376
Pezizales;2660
Phomatosporales;81
Phyllachorales;1311
Pleosporales;9410
Pneumocystales;5
Pyrenulales;188
Rhizocarpales (n sp ww acc. to Dictionary);489
Rhytismatales;769
Saccharomycetales;1110
Sordariales;1398
Strigulales;67
Teloschistales;1007
Torpedosporales;3
Trichosphaeriales;144
Trypetheliales;148
Tubeufiales;369
Valsariales;35
Venturiales;545
Vermiculariopsiellales;NA
Verrucariales;364
Wiesneriomycetales;NA
Xylariales;2640
 Basidiomycota;48405
Agaricales;23225
Agrostilbales;66
Atheliales;110
Auriculariales;288
Basidiomycota_Incertae_sedis;NA
Boletales;2173
Cantharellales;750
Ceraceosorales;3
Corticiales;248
Dacrymycetales;171
Doassansiales;55
Entylomatales;273
Exobasidiales;166
Geastrales;115
Georgefischeriales;44
Gomphales;488
Helicobasidiales;36
Hymenochaetales;1019
Hysterangiales;145
Lepidostromatales;5
Malasseziales;22
Microbotryales;164
Phallales;172
Polyporales;3553
Pucciniales;8014
Russulales;3137
Sebacinales;93
Septobasidiales;244
Sporidiobolales;91
Stereopsidales;17
Thelephorales;356
Tilletiales;236
Trechisporales;114
Tremellales;435
Trichosporonales;78
Urocystidales;313
Ustilaginales;1088
 Blastocladiomycota;215
Blastocladiales;215
 Chytridiomycota;1218
Chytridiales;607
Olpidiales;57
 Glomeromycota;284
Archaeosporales;14
Diversisporales;138
Glomerales;121
Paraglomerales;9
 Zygomycota;1366
Entomophthorales;326
Kickxellales;37
Mortierellales;122
Mucorales;287
Zoopagales;221
Zygomycota_Incertae_sedis;NA
Cercozoa;48
Plasmodiophorida;44
Choanozoa;96
Eccrinida;96
Mycetozoa;1184
Dictyostelida (cited as Dictyosteliales in Catalogue of Life);149
Liceida (Liceales);157
Physarida (Physarales);415
Protostelida (Protosteliales);32
Stemonitiida (Stemonitales);217
Trichiida (Trichiales);190
Oomycota;1616
Albuginales;64
Peronosporales;1131
Saprolegniales;244
